"File","LineNumber","MatchedText","LooksLikeCode","LineContent"
"finlife-india-quest-enhanced.html","1333","Bhāva","False","// Bhāva bottom toast for chapter complete"
"finlife-india-quest-enhanced.html","1397","Bhāva","False","// Bhāva Quotient aggregate bars"
"finlife-india-quest-enhanced.html","1433","Bhāva","True","barsEl.innerHTML = '<div class=""tiny"">Complete modules to see your Bhāva Quotient profile.</div>';"
"finlife-india-quest-enhanced.html","1436","Bhāva","True","document.getElementById('bhavaQuotientBars').innerHTML = '<div class=""tiny"">Complete modules to see your Bhāva Quotient profile.</div>';"
"grammar-galaxy.html","840","Bhava","False","/* Bhava Game Menu - Auto Injected */"
"grammar-galaxy.html","915","Bhava","False","/* End Bhava Game Menu CSS */"
"grammar-galaxy.html","917","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"grammar-galaxy.html","2308","Bhava","False","<!-- Shared Bhava menu JS -->"
"grammar-galaxy.html","2310","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"grammar-galaxy.html","2350","Bhava","False","<!-- End Bhava Game Menu -->"
"grammar-galaxy.html","2352","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"grammar-pro.html","372","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"grammar-pro.html","394","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"grammar-pro.html","432","Bhava","False","<!-- End Bhava Game Menu CSS -->"
"grammar-pro.html","1202","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"grammar-pro.html","1233","Bhava","False","<!-- End Bhava Game Menu -->"
"grammar-pro.html","1236","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"heart-heroes.html","141","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"heart-heroes.html","164","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"heart-heroes.html","202","Bhava","False","<!-- End Bhava Game Menu CSS -->"
"heart-heroes.html","561","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { BhavaSession.end(score); } } catch(e) { console.warn('BhavaSession.end:', e.message); } // Bhava auto-tracked"
"heart-heroes.html","616","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"heart-heroes.html","647","Bhava","False","<!-- End Bhava Game Menu -->"
"heart-heroes.html","650","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"iq-test-level-3.html","106","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"iq-test-level-3.html","142","Bhāva","True","<h2 class=""gradient-text"">Bhāva Tech Cognitive Assessment</h2>"
"iq-test-level-3.html","426","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"logic-game.html","251","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"logic-game.html","801","Bhava","False","<!-- Bhava Game Menu -->"
"logic-game.html","825","Bhava","False","<!-- End Bhava Game Menu -->"
"logic-game.html","828","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"math-blitz.html","394","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"math-blitz.html","1332","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { BhavaSession.end(score); } } catch(e) { console.warn('BhavaSession.end:', e.message); } // Bhava auto-tracked"
"math-blitz.html","1401","Bhava","False","<!-- Bhava Game Menu -->"
"math-blitz.html","1425","Bhava","False","<!-- End Bhava Game Menu -->"
"math-blitz.html","1428","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"memory-match-puzzle.html","241","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"memory-match-puzzle.html","263","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"memory-match-puzzle.html","301","Bhava","False","<!-- End Bhava Game Menu CSS -->"
"memory-match-puzzle.html","534","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { BhavaSession.end(G.score); } } catch(e) { console.warn('BhavaSession.end:', e.message); } // Bhava Tech auto-tracked"
"memory-match-puzzle.html","670","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"memory-match-puzzle.html","701","Bhava","False","<!-- End Bhava Game Menu -->"
"memory-match-puzzle.html","704","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"memory-match-ultimate.html","152","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"memory-match-ultimate.html","522","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { const _pCount = currentCols===4?8:currentCols===5?10:18; const _bvPct = Math.min(100, Math.round((matchedCount / (_pCount ||  ...(truncated)"
"memory-match-ultimate.html","609","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"memory-zoo-puzzle.html","351","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"memory-zoo-puzzle.html","373","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"memory-zoo-puzzle.html","411","Bhava","False","<!-- End Bhava Game Menu CSS -->"
"memory-zoo-puzzle.html","777","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { const _bvPct = starNum === 3 ? 100 : starNum === 2 ? 67 : 33; BhavaSession.end(_bvPct); } } catch(e) { console.warn('BhavaSes ...(truncated)"
"memory-zoo-puzzle.html","830","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"memory-zoo-puzzle.html","861","Bhava","False","<!-- End Bhava Game Menu -->"
"memory-zoo-puzzle.html","864","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"mindscape-pro.html","166","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"mindscape-pro.html","811","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { BhavaSession.end(score); } } catch(e) { console.warn('BhavaSession.end:', e.message); } // Bhava auto-tracked"
"mindscape-pro.html","858","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"mindspark-iq.html","157","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"mindspark-iq.html","185","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"mindspark-iq.html","223","Bhava","False","<!-- End Bhava Game Menu CSS -->"
"mindspark-iq.html","380","Bhāva","True","<div class=""logo-text"">Bhāva Tech</div>"
"mindspark-iq.html","733","Bhava","False","// Bhava session end moved to after accuracy computed"
"mindspark-iq.html","742","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { BhavaSession.end(accuracy); } } catch(e) { console.warn('BhavaSession.end:', e.message); } // Bhava auto-tracked"
"mindspark-iq.html","809","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"mindspark-iq.html","840","Bhava","False","<!-- End Bhava Game Menu -->"
"mindspark-iq.html","843","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"motorcycle-one-workshop.html","6","Bhāva","False","<title>Bhāva Tech | Motorcycle Build Engineer</title>"
"motorcycle-one-workshop.html","102","Bhāva","True","<span class=""brand""><b>Bhāva Tech</b> · Motorcycle Build Engineer</span>"
"nagarikx-enhanced.html","359","Bhāva","False","/* ── Bhāva overlay ── */"
"nagarikx-enhanced.html","424","Bhāva","True","<div class=""certBox""><strong>Name:</strong> Bhāva Tech Learner</div>"
"nagarikx-enhanced.html","570","Bhāva","False","<!-- Bhāva menu button (fixed top-right, desktop) -->"
"nagarikx-enhanced.html","575","Bhāva","False","<h3 style=""margin:0 0 8px;font-size:1.4rem;"">Bhāva Tech</h3>"
"nagarikx-enhanced.html","581","Bhāva","False","<p style=""margin:18px 0 0;font-size:.78rem;color:#6a88aa;text-align:center;"">Bhāva Tech · Civic Awareness Platform</p>"
"nagarikx-enhanced.html","818","Bhāva","False","// Bhāva domain map"
"nagarikx-enhanced.html","1129","Bhāva","False","// Bhāva menu JS"
"neuro-ascend-iq.html","193","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"neuro-ascend-iq.html","215","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"neuro-ascend-iq.html","253","Bhava","False","<!-- End Bhava Game Menu CSS -->"
"neuro-ascend-iq.html","987","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { BhavaSession.end(score); } } catch(e) { console.warn('BhavaSession.end:', e.message); } // Bhava auto-tracked"
"neuro-ascend-iq.html","1054","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"neuro-ascend-iq.html","1085","Bhava","False","<!-- End Bhava Game Menu -->"
"neuro-ascend-iq.html","1088","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"neuroflash-memory.html","411","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"neuroflash-memory.html","1082","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { BhavaSession.end(state.score); } } catch(e) { console.warn('BhavaSession.end:', e.message); } // Bhava auto-tracked"
"neuroflash-memory.html","1220","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"neurospark.html","1237","Bhāva","False","BhavaSession.end(acc); // [Bhāva Phase 1] acc = accuracy %, 0-100"
"number-garden-quest.html","279","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"number-garden-quest.html","1049","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { BhavaSession.end(Math.round((score / questions.length) * 100)); } } catch(e) { console.warn('BhavaSession.end:', e.message);  ...(truncated)"
"number-garden-quest.html","1164","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"percentile-game.html","158","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"percentile-game.html","180","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"percentile-game.html","218","Bhava","False","<!-- End Bhava Game Menu CSS -->"
"percentile-game.html","645","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { BhavaSession.end(score); } } catch(e) { console.warn('BhavaSession.end:', e.message); } // Bhava auto-tracked"
"percentile-game.html","669","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"percentile-game.html","700","Bhava","False","<!-- End Bhava Game Menu -->"
"percentile-game.html","703","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"planet-guardians.html","202","Bhava","False","/* ===== Bhava Layout Fix v2 ==================================="
"planet-guardians.html","224","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"planet-guardians.html","262","Bhava","False","<!-- End Bhava Game Menu CSS -->"
"planet-guardians.html","678","Bhava","True","try { if (window.BhavaSession && typeof BhavaSession.end === 'function') { BhavaSession.end(finalScore); } } catch(e) { console.warn('BhavaSession.end:', e.message); } // Bhava auto-tracked"
"planet-guardians.html","708","Bhava","False","<!-- Bhava Game Menu - Auto Injected -->"
"planet-guardians.html","739","Bhava","False","<!-- End Bhava Game Menu -->"
"planet-guardians.html","742","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"ready-for-the-world.html","86","Bhāva","True","<header class=""top""><div class=""brand""><div class=""logo"">✨</div><div><small>Bhāva Tech</small><strong>Ready for the World</strong></div></div><button class=""theme"" id=""themeBtn"">◐</button></header>"
"ready-for-the-world.html","303","Bhava","False","<!-- Bhava Tech Session Tracker -->"
"soccomm-enhanced.html","6","Bhāva","False","<title>Bhāva Tech: Life-Linguistics Simulator</title>"
"soccomm-enhanced.html","74","Bhāva","False","<div id=""header-branding"">Bhāva Tech Life-Linguistics</div>"
"soccomm-enhanced.html","95","Bhāva","False","<h3 style=""margin:0 0 6px;font-size:1.3rem;color:#a29bfe;"">Bhāva Tech</h3>"
"soccomm-enhanced.html","100","Bhāva","False","<p style=""margin:16px 0 0;font-size:.75rem;color:#4a5568;text-align:center;"">Bhāva Tech · Cognitive Skills Platform</p>"
"soccomm-enhanced.html","105","Bhāva","False","// ── Bhāva session state ──────────────────────────────────────────────"
